Postcode,predicted_clv_3y,allocated_marketing_budget,municipality,id,postal_code,total_population,male,female,age_0_15,age_15_25,age_25_45,age_45_65,age_65_plus,dutch_background,western_migration_background,non_western_migration_background,total_households,single_person_households,multi_person_no_children,single_parent_households,two_parent_households,household_size,total_housing_stock,built_before_1945,built_1945_1965,built_1965_1975,built_1975_1985,built_1985_1995,built_1995_2005,built_2005_2015,built_2015_later,multi_family_dwelling,owner_occupied,rental,housing_corporation_rental,not_occupied,woz_property_value,benefits_under_retirement_age,extra_metric_1,extra_metric_2,ppi_level,cbs_new_ppi
3295,128756.0,6550.0,Hoeksche Waard,1004.0,3295.0,8905.0,0.49241998877035376,0.5075800112296462,0.16058394160583941,0.10050533408197641,0.2313307130825379,0.2784952274003369,0.22908478382930939,1.0,0.0,0.0,0.4317798989331836,0.2964889466840052,0.35240572171651496,0.053315994798439535,0.2964889466840052,2.3,3935.0,0.17026683608640406,0.07878017789072427,0.241423125794155,0.12706480304955528,0.12833545108005082,0.10927573062261753,0.10927573062261753,0.035578144853875476,0.27064803049555275,70.0,30.0,0.29224904701397714,0.02795425667090216,240.0,0.049410443571027515,0.10971364402021336,0.00044918585064570465,1.0,1.115866919448195
3037,125903.0,6405.0,Rotterdam,857.0,3037.0,7825.0,0.47859424920127797,0.5220447284345048,0.1501597444089457,0.1194888178913738,0.37252396166134183,0.2268370607028754,0.13099041533546327,0.994888178913738,0.0012779552715654952,0.0038338658146964857,0.5284345047923322,0.5187424425634825,0.20435308343409916,0.07859733978234583,0.18621523579201935,1.9,3800.0,0.7223684210526315,0.007894736842105263,0.05,0.0,0.125,0.04078947368421053,0.056578947368421055,0.0,0.9315789473684211,40.0,60.0,0.3881578947368421,0.05526315789473684,276.0,0.09904153354632587,0.8484345047923323,0.00012779552715654952,3.0,0.8383514803730034
3051,122763.0,6245.0,Rotterdam,867.0,3051.0,7875.0,0.4901587301587302,0.5098412698412699,0.1746031746031746,0.1111111111111111,0.3549206349206349,0.24761904761904763,0.11174603174603175,0.9974603174603175,0.0012698412698412698,0.0012698412698412698,0.49142857142857144,0.4263565891472868,0.2622739018087855,0.06976744186046512,0.23126614987080105,2.0,3755.0,0.8362183754993342,0.04660452729693742,0.0,0.005326231691078562,0.02663115845539281,0.05992010652463382,0.018641810918774968,0.005326231691078562,0.7616511318242344,70.0,30.0,0.017310252996005325,0.06790945406125166,288.0,0.04126984126984127,0.40114285714285713,0.00012698412698412698,3.0,1.1237190622157691
3247,122470.0,6230.0,Goeree-Overflakkee,979.0,3247.0,5840.0,0.4897260273972603,0.5102739726027398,0.1857876712328767,0.13013698630136986,0.23373287671232876,0.2671232876712329,0.1832191780821918,1.0,0.0,0.0,0.4006849315068493,0.2948717948717949,0.3162393162393162,0.049145299145299144,0.33760683760683763,2.4,2440.0,0.2540983606557377,0.09631147540983606,0.1290983606557377,0.11065573770491803,0.09836065573770492,0.10655737704918032,0.12704918032786885,0.07991803278688525,0.1557377049180328,70.0,30.0,0.25,0.05327868852459016,236.0,0.046232876712328765,0.11044520547945205,0.0006849315068493151,1.0,1.0905527717714092
3054,122258.0,6219.0,Rotterdam,870.0,3054.0,7925.0,0.46876971608832807,0.5312302839116719,0.14511041009463724,0.0971608832807571,0.20126182965299685,0.277602523659306,0.27949526813880127,0.9962145110410094,0.0012618296529968455,0.002523659305993691,0.5003154574132492,0.4640605296343001,0.2572509457755359,0.07818411097099622,0.19419924337957126,1.9,4120.0,0.2827669902912621,0.2196601941747573,0.043689320388349516,0.02669902912621359,0.025485436893203883,0.1638349514563107,0.2366504854368932,0.0012135922330097086,0.7063106796116505,50.0,50.0,0.3640776699029126,0.05946601941747573,408.0,0.07886435331230283,0.263217665615142,0.0002523659305993691,1.0,1.1129979993549801
3123,121422.0,6177.0,Schiedam,912.0,3123.0,7390.0,0.4844384303112314,0.5155615696887687,0.13870094722598106,0.10825439783491204,0.21718538565629228,0.2807848443843031,0.2550744248985115,0.9972936400541272,0.0013531799729364006,0.0013531799729364006,0.45263870094722597,0.34080717488789236,0.3109118086696562,0.08071748878923767,0.26307922272047835,2.2,3330.0,0.003003003003003003,0.0,0.2042042042042042,0.47897897897897895,0.2987987987987988,0.013513513513513514,0.0,0.0,0.4339339339339339,60.0,40.0,0.35135135135135137,0.015015015015015015,226.0,0.056833558863328824,0.3520974289580514,0.00013531799729364006,1.0,0.9949942662037412
3124,117869.0,5996.0,Schiedam,913.0,3124.0,8185.0,0.5076359193646915,0.4923640806353085,0.15149664019547954,0.144777031154551,0.2028100183262065,0.3720219914477703,0.12889431887599268,0.9975565058032987,0.0012217470983506415,0.0012217470983506415,0.3836285888821014,0.18630573248407642,0.321656050955414,0.0732484076433121,0.41878980891719747,2.6,3115.0,0.014446227929373997,0.0,0.0,0.0,0.5521669341894061,0.2568218298555377,0.17174959871589085,0.0,0.2680577849117175,90.0,10.0,0.09791332263242375,0.014446227929373997,310.0,0.04459376908979841,0.22431276725717778,0.0002443494196701283,4.0,1.3435686079094729
3069,117797.0,5992.0,Rotterdam,882.0,3069.0,18980.0,0.4718124341412013,0.5281875658587988,0.14199157007376184,0.09299262381454163,0.21443624868282402,0.26949420442571126,0.28108535300316123,0.9984193888303478,0.0005268703898840885,0.001053740779768177,0.5063224446786091,0.4422476586888658,0.2679500520291363,0.09781477627471384,0.18730489073881373,1.9,9705.0,0.0005151983513652757,0.0,0.37145801133436374,0.38794435857805254,0.1566202988150438,0.05667181865018032,0.026790314270994334,0.0,0.6172076249356002,40.0,60.0,0.4925296239052035,0.026790314270994334,209.0,0.10748155953635406,0.13893572181243413,5.2687038988408854e-05,2.0,0.4140618096364346
3079,113354.0,5766.0,Rotterdam,891.0,3079.0,16010.0,0.48376014990630856,0.5162398500936914,0.17801374141161774,0.11211742660836976,0.29606495940037475,0.24047470331043097,0.1736414740787008,0.9968769519050593,0.0006246096189881324,0.0024984384759525295,0.4831355402873204,0.4434389140271493,0.2094376212023271,0.1363930187459599,0.20103425985778928,2.0,7850.0,0.0535031847133758,0.34267515923566877,0.4286624203821656,0.061146496815286625,0.049681528662420385,0.01464968152866242,0.049681528662420385,0.0,0.6802547770700637,40.0,60.0,0.45414012738853504,0.05923566878980892,161.0,0.12336039975015615,0.172579637726421,6.246096189881324e-05,2.0,0.32053818830319325
3016,112759.0,5736.0,Rotterdam,841.0,3016.0,2090.0,0.5430622009569378,0.4569377990430622,0.04784688995215311,0.22248803827751196,0.3684210526315789,0.215311004784689,0.145933014354067,0.9808612440191388,0.009569377990430622,0.009569377990430622,0.6770334928229665,0.6219081272084805,0.28975265017667845,0.02120141342756184,0.06007067137809187,1.5,1140.0,0.5,0.11403508771929824,0.17982456140350878,0.008771929824561403,0.0,0.13157894736842105,0.06578947368421052,0.0,0.9649122807017544,50.0,50.0,0.14912280701754385,0.15789473684210525,471.0,0.0215311004784689,1.7564593301435407,0.0004784688995215311,3.0,1.5875850324301486
